"","V1","V2"
"1","Would PEP want all sales teams interpreting social media and interpret growth opportunities or would/should this be managed by a specific group only?  Business process should drive this functinality ","4"
"2","Would like a deeper dive to better understand the Jams (internal) vs Social (external) and how to build out communications with Third Party Distributors, Customers, etc.  It was a bit confussing and not sure if security measures would exit (confidenciatlity)","1"
"3","when will the tool allow the user to see who reviewed the shared documents and take it to another level of which portion of the document was reviewed?","3"
"4","Very strong in collaboration. Wish they had not focused on it as much as they did. ","1"
"5","Very cool mapping and analytical functionality","3"
"6","Very capable platform for collabration.  Sure we will have to change with the trend and move away from email to more of a chatter way but the increased visability and transpaency.","1"
"7","Vendor showed great ways to connect and callaborate between customer and sales rep, between FSR/KAM to PSAM/PD","3"
"8","Utilization of group collaboration for external communication and fobos","1"
"9","This would not be a big portion of time for the PWS CM's.  Could be useful to get quick insight into consumers perspective","3"
"10","This will be down the road for us to work into but again with it being Microsofta and having BING as a search engine","1"
"11","This was similar for all compaines presenting.  ","1"
"12","Their collaboration platform seemed a little confusing to follow.  Specifically when they discussed the value of Chatter vs. normal emails.","1"
"13","The visualization around the Social Media were similar, but their approach as leveraging for an opportunity finder or prioritization into the Selling/TPM was effective.","4"
"14","the surfbi ui seemed very robust and they presented a good story in how to use. As pointed out, this in not an oracle tool and they have not developed their own tool kit with native integration. Hard to get excited about their showing a 3rd party front end as having advanced capabilities on siebel software","1"
"15","The only presentation that had an answer for external communication and fobo alignment.  ","1"
"16","The Marketing Cloud was impressive, alowing trending topics, promotions, local events for opportunities.    Would like to see how to access the information in a demo vs ppt snapshots","4"
"17","The ability to collaborate and to share best practice and the ability to cross share the info accross as many or as few as you like.","3"
"18","Some of their social net working capabilities were insightful, but I'm unclear how it would be value added to our frontline sales teams.","3"
"19","Social was good, and all ofOracles purchased solutions are not integrated to each other.","3"
"20","Similar to other users,  business needs to define usage.","1"
"21","Showed a system that allows for RSS feeds and has a twitter like feed to share comments and documents across.  Appeared user friendly, etc.","3"
"22","Share of voice, Sentiment break down, Competative, Brand/Package, etc. all avaialble with charting capability is very powerful","3"
"23","Seemed to be relatively simple....not terribly robust, but not sure our needs for these features are high priority","1"
"24","Saw very basic discussion functionality on customer comments.  Good integration into Outlook and ability to put the data where the user desires.  ","3"
"25","same comments as #9","3"
"26","Same comment as before.","1"
"28","rely on 3rd party. integration options are strong and relatively open. ","1"
"29","relied on 3rd party data feeds. showed strong experience and skills from other implementations . Accenture has been very active in this space for several years and actively staffing expertise","1"
"30","Real time back and forth was great.  Didn't see a lot on social media.","4"
"31","Pepsico one touch is an interesting idea and I would be interested in learning more.","3"
"32","Not sure how I will apply this fully to my job duties.","1"
"33","Need to understand how PEP looks to integrate this functionality int business processes.  Can become content overload.","1"
